pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0Gy_14d_1.raw.PG.Quantity,0Gy_14d_6.raw.PG.Quantity,0Gy_14d_6(2).raw.PG.Quantity,0Gy_14d_8.raw.PG.Quantity,0Gy_14d_9.raw.PG.Quantity,0Gy_14d_10.raw.PG.Quantity,0Gy_14d_10(2).raw.PG.Quantity,0.2Gy_11d_1.raw.PG.Quantity,0.2Gy_11d_4.raw.PG.Quantity,0.2Gy_11d_5.raw.PG.Quantity,0.2Gy_11d_8.raw.PG.Quantity,0.2Gy_11d_9.raw.PG.Quantity,0.2Gy_14d_1.raw.PG.Quantity,0.2Gy_14d_3.raw.PG.Quantity,0.2Gy_14d_4.raw.PG.Quantity,0.2Gy_14d_5.raw.PG.Quantity,0.2Gy_14d_7.raw.PG.Quantity,0.5Gy_11d_4.raw.PG.Quantity,0.5Gy_11d_5.raw.PG.Quantity,0.5Gy_11d_7.raw.PG.Quantity,0.5Gy_11d_8.raw.PG.Quantity,0.5Gy_11d_9.raw.PG.Quantity,0.5Gy_14d_1.raw.PG.Quantity,0.5Gy_14d_2.raw.PG.Quantity,0.5Gy_14d_3.raw.PG.Quantity,0.5Gy_14d_7.raw.PG.Quantity,0.5Gy_14d_8.raw.PG.Quantity,2Gy_11d_3.raw.PG.Quantity,2Gy_11d_5.raw.PG.Quantity,2Gy_11d_6.raw.PG.Quantity,2Gy_11d_7.raw.PG.Quantity,2Gy_11d_8.raw.PG.Quantity,2Gy_14d_2.raw.PG.Quantity,2Gy_14d_3.raw.PG.Quantity,2Gy_14d_4.raw.PG.Quantity,2Gy_14d_6.raw.PG.Quantity,2Gy_14d_9.raw.PG.Quantity
GCAB,2822886.0,1864856.5,3048673.5,3871786.0,2381389.25,5121291.0,3551856.75,3122173.5,3826281.25,2931918.25,3946085.5,1686879.375,6301231.0,6763524.5,7487933.5,6196289.0,5802288.0,2843361.25,3004298.25,31553268.0,41235304.0,30074750.0,24465444.0,28140686.0,20829690.0,24751412.0,14584080.0,11587484.0,14985050.0,8898154.0,5037294.0,3994429.25,6239558.0,4555038.5,8240926.5,6341243.0,4798043.5,7058067.0,6102272.0,2723091.25,1441734.25,6767701.0,2628037.5,2071478.5,2955868.25,6265454.5,5253246.5,2594169.75,7094782.0
Gm5629,270187.5625,47547.54688,65309.49609,64641.67578,46698.34375,139148.5,52690.8125,130099.0547,172315.1406,205801.25,220388.3438,23107.07031,187504.9219,44314.53125,77771.39063,86850.0,96363.66406,87080.88281,141472.1406,1058411.5,875423.9375,873092.25,742739.1875,911134.375,361753.7813,676437.3125,566014.75,306529.4063,294991.9063,87431.92188,127121.9219,78088.17969,157362.1563,91968.60938,213543.4844,84860.96094,82702.49219,253743.7656,305123.4688,97280.69531,199362.8281,154946.875,106507.3572,69880.99219,101881.4688,65557.20313,116994.4609,40900.27734,111761.4141
KV3A1,1282048.375,1444713.0,1242699.25,1332144.75,767755.9375,2622615.0,2954796.0,1169311.375,1618745.75,1070900.875,1663018.25,749721.125,2606128.5,2017323.5,2641779.25,2306817.0,1498799.0,1583020.375,2378122.75,8222415.5,10251710.0,12821058.0,12029388.0,9516427.0,12425440.0,12740307.0,8466784.0,4059835.75,5886203.0,1819760.75,2589216.0,1535726.25,1731755.5,1176583.375,1816207.875,3446992.75,1307431.75,2340031.25,1570364.25,1338128.5,1767364.875,4253854.0,945630.1875,964580.625,1089174.0,3679636.75,2756570.75,1593618.875,2491536.75
KV3AD,342814.9688,124313.7578,185562.0781,230021.7969,115414.6641,465670.375,779846.25,308634.3438,394023.2813,185065.6875,226278.4063,63277.85547,612361.5,720752.9375,991373.75,172821.4375,222497.7813,207402.0469,409249.4688,4330771.5,3274944.0,4462992.0,2881666.75,3621413.0,2602811.25,2509863.5,1731329.375,1080568.625,1219142.0,289965.8125,173563.9844,134508.9688,402221.8125,307197.8438,395711.625,1795979.75,169806.125,628052.5,301344.875,362685.6875,127238.8438,1488230.625,178972.0156,208082.875,222056.1563,1429210.875,936294.375,112444.4453,521871.6563
KV3AJ;KV3AL,109999.8125,13405.23145,34011.48438,88097.99219,34244.97266,53064.30859,98643.18112,172748.3125,208394.4688,100847.6328,111174.4219,41610.73828,270463.6875,103366.4375,100672.8281,180776.2344,17739.69922,36315.81641,118222.4505,233476.9219,252491.7969,248322.2656,413451.625,323652.3125,328517.0625,311843.5625,211986.0,291003.9375,268910.2188,62721.62109,117911.3828,30271.61523,112170.1328,31514.12305,182498.0938,165371.375,85821.83594,138009.2969,157860.0,207908.75,61215.25781,61069.375,95576.33594,29698.54297,680252.3125,23095.24609,58801.76172,245273.1094,144405.7969
Igh-3,12262260.0,5169748.0,11441056.0,7981701.5,8210598.0,16413811.0,13606026.0,12261227.0,16321666.0,13155983.0,17460266.0,6920477.5,19026034.0,14643876.0,21123710.0,12737385.0,21585252.0,9026248.0,14395821.0,22538292.0,28310190.0,46283064.0,52538288.0,23128256.0,53284588.0,42776688.0,23890974.0,21705888.0,21393472.0,28676364.0,13780042.0,11397350.0,19811820.0,12891802.0,18498652.0,16144116.0,17962898.0,21695646.0,22300698.0,12593654.0,10870727.0,21258978.0,10287113.0,9456449.0,13091102.0,25918640.0,17906092.0,9486798.0,16889548.0
Ighv1-61,413667.3125,446338.5,299170.4688,404616.5,283148.875,497043.4375,569977.75,682424.4375,373270.3438,773283.6875,495702.4688,465680.0,618169.0625,627149.5625,524654.75,858692.25,616097.0,402581.8438,425394.2188,1487890.375,1889879.875,1101729.75,967259.0625,1557124.375,873691.375,956864.9375,1412834.375,993590.125,1140925.375,840848.4375,592079.375,501141.9375,641036.4375,455615.7813,1038612.5,459551.9063,871286.5625,936624.6875,573234.6875,590738.625,536026.75,686110.75,472492.875,780637.375,700218.75,663579.75,518449.6875,310277.8438,608573.625
KV3AA,414007.3125,73284.11719,273219.2813,309673.625,124000.3281,436471.1563,259336.6563,273084.5,719790.4375,163018.1563,344698.0313,88721.53906,329556.5313,217975.7656,376651.6875,216313.2344,355045.125,299428.1563,440110.875,1656667.25,1849577.875,3369400.0,1816377.875,1801336.875,918999.5625,1559574.875,890605.8125,633790.5,1321284.25,700813.6875,373466.9688,169813.4844,472714.6875,134805.7188,450328.25,587344.125,247722.4375,181236.0313,503693.8125,167539.3594,122099.0859,566753.25,257182.0781,188309.1563,151843.3906,274198.3438,458709.5,251071.3906,261680.5
KV3A4,52331.89453,252894.6719,96433.875,250872.783,65018.66406,556128.75,663272.8125,58905.47656,115299.1094,250872.783,80198.32031,250872.783,152217.6094,89352.77344,252225.2031,1164087.75,77495.41406,163367.0,174735.2031,644459.0625,862072.625,979731.125,801843.9375,257001.7031,971385.875,1143074.625,617190.9375,327398.875,503441.2188,421747.5938,432197.2813,217950.904,201531.2969,60998.19141,290680.0938,217950.904,69546.03125,217950.904,48955.83984,123606.7734,196796.3945,232588.5469,196796.3945,196796.3945,137303.4219,227595.0938,300231.2813,159453.25,196796.3945
Ighv3-6,507246.2813,192264.3125,973323.3125,710820.25,397067.5313,593959.5625,459221.375,399724.2813,711593.0625,503237.3125,439312.9375,298332.625,626134.8125,659138.375,865378.3125,411698.0,758074.375,440954.7813,476405.4375,2390484.25,2501863.0,2539745.25,1638282.75,2778325.0,1002924.188,1367490.375,1252262.375,1274082.0,1608507.375,831394.5625,666125.25,542820.6875,796023.0,407995.0625,528918.9375,1179867.25,1018358.438,843236.0625,1351259.25,526638.0625,346896.875,1286094.875,1016011.688,643231.25,464897.8125,967661.875,709216.25,432096.5938,1669293.125
