pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0.2Gy_6h_1.raw.PG.Quantity,0.2Gy_6h_5.raw.PG.Quantity,0.2Gy_6h_6.raw.PG.Quantity,0.2Gy_6h_7.raw.PG.Quantity,0.2Gy_6h_8.raw.PG.Quantity,0.2Gy_1d_2.raw.PG.Quantity,0.2Gy_1d_5.raw.PG.Quantity,0.2Gy_1d_6.raw.PG.Quantity,0.2Gy_1d_7.raw.PG.Quantity,0.2Gy_1d_9.raw.PG.Quantity,0.5Gy_6h_1.raw.PG.Quantity,0.5Gy_6h_3.raw.PG.Quantity,0.5Gy_6h_4.raw.PG.Quantity,0.5Gy_6h_5.raw.PG.Quantity,0.5Gy_6h_7.raw.PG.Quantity,0.5Gy_1d_1.raw.PG.Quantity,0.5Gy_1d_2.raw.PG.Quantity,0.5Gy_1d_6.raw.PG.Quantity,0.5Gy_1d_7.raw.PG.Quantity,0.5Gy_1d_10.raw.PG.Quantity,2Gy_6h_2.raw.PG.Quantity,2Gy_6h_4.raw.PG.Quantity,2Gy_6h_5.raw.PG.Quantity,2Gy_6h_7.raw.PG.Quantity,2Gy_6h_9.raw.PG.Quantity,2Gy_1d_1.raw.PG.Quantity,2Gy_1d_5.raw.PG.Quantity,2Gy_1d_6.raw.PG.Quantity,2Gy_1d_7.raw.PG.Quantity,2Gy_1d_10.raw.PG.Quantity
Ngp,7273.265625,8004.9755859375,12053.9921875,16393.994140625,9478.697265625,11340.3291015625,13949.798828125,11724.05859375,12100.09765625,18768.021484375,20435.681640625,12934.4169921875,10171.232421875,14859.4248046875,12026.08984375,8720.1103515625,10122.119140625,11676.64453125,9324.6259765625,13627.2041015625,7581.84228515625,6572.169921875,12688.818359375,12787.154296875,19546.037109375,12524.376953125,13550.111328125,11346.1220703125,5929.27734375,5887.564453125,12329.6064453125,2563.068359375,23261.87109375,27823.814453125,16612.451171875,29347.431640625,20650.78125,20233.646728515625,20233.646728515625,20233.646728515625,20233.646728515625,3705.53076171875
Coro1a,11903.255078125,9439.1513671875,11391.6103515625,11903.255078125,8972.099609375,11401.3544921875,20712.27734375,13072.623046875,11222.40234375,10728.5166015625,10595.330078125,11497.185546875,8722.2578125,15355.54140625,15355.54140625,12261.9248046875,15355.54140625,11484.3935546875,15355.54140625,15355.54140625,21787.427734375,22521.703125,13973.0734375,13973.0734375,12989.9833984375,15024.0517578125,11894.384765625,16505.220703125,13973.0734375,13451.7265625,13973.0734375,13973.0734375,28126.314453125,30426.1484375,13798.8857421875,17860.73856026786,22381.09765625,7909.9130859375,11129.02734375,17860.73856026786,17860.73856026786,11253.783203125
Psmb10,8888.8466796875,7302.280517578125,4432.43603515625,7302.280517578125,7302.280517578125,7302.280517578125,7742.69970703125,7885.99853515625,7302.280517578125,9794.6669921875,5069.03515625,7302.280517578125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,10260.939453125,11058.9765625,11536.948046875,10715.912109375,11536.948046875,11536.948046875,11536.948046875,11536.948046875,16505.83984375,7621.5732421875,11782.4384765625,18049.83203125,15557.578125,13687.03843470982,9736.3759765625,18182.59765625,13687.03843470982,7452.18701171875,13687.03843470982,8417.3564453125,18413.341796875
Msn,7121.05517578125,10869.36328125,10909.056640625,9752.0693359375,11135.296875,11608.1064453125,9617.9248046875,15490.982421875,6179.53466796875,16728.865234375,8482.416015625,12962.1630859375,8833.2119140625,7561.837890625,10228.4404296875,8472.8369140625,127666.8828125,8473.0439453125,10446.400390625,9122.9775390625,6897.48095703125,7788.12109375,12791.2099609375,9576.9326171875,9823.109375,8493.884765625,11510.3701171875,11301.42578125,8825.015625,11408.037109375,10440.8154296875,9005.9052734375,35815.05078125,22974.220703125,22151.78125,12317.8427734375,20501.443359375,28931.279296875,23135.982666015625,52614.2109375,3018.28735351563,9899.7275390625
Igfbp4,49858.23828125,83376.1171875,64961.54296875,84933.90625,106920.296875,63426.66796875,93101.0546875,51369.76953125,50078.99609375,51941.0390625,50456.7578125,85818.046875,77206.1640625,81588.1171875,25389.52734375,77125.84375,69343.1328125,89032.9140625,78630.921875,48165.83203125,91610.15625,77382.9140625,65440.4609375,71819.9921875,37179.8515625,60376.2421875,69093.3046875,99265.921875,89257.8828125,91989.859375,93043.140625,90345.4375,135488.140625,125552.984375,58005.49609375,89538.50260416667,141774.28125,92800.203125,57901.33203125,67389.953125,37648.8125,89285.3203125
Ca1,80798.40625,46504.92578125,105526.359375,97001.90625,117884.96875,75192.3828125,84587.671875,112780.46875,84498.5859375,74162.234375,40801.36328125,99571.40625,81037.484375,75253.6953125,82408.0546875,170575.3125,156869.890625,89530.3203125,143300.4375,83100.578125,110398.6015625,80731.828125,171945.59375,118295.703125,115343.7890625,91841.671875,136184.25,142807.90625,105080.8984375,95784.25,167575.9375,218877.875,88240.6171875,162550.859375,130766.7421875,107476.515625,77097.90625,108263.0625,206067.78125,172483.390625,97940.984375,212470.65625
Psma6,25705.18359375,21990.84375,35357.52734375,23119.455078125,21389.65625,32719.94921875,43754.78125,13307.728515625,22739.146484375,25227.318359375,28739.560546875,34032.44921875,39512.6328125,31100.96484375,42926.43359375,35923.63671875,42141.328125,28562.265625,30164.5234375,44274.3203125,25328.83203125,42032.73046875,44718.74609375,41358.65625,51460.6328125,26978.220703125,27278.568359375,43945.36328125,35607.11328125,49103.7578125,43414.1953125,38746.25,57513.14453125,61011.765625,53869.53515625,60664.25,44840.55078125,51078.28125,35611.1015625,79506.6328125,46606.3828125,69350.6015625
Psmb8,27546.50390625,17732.57421875,27692.7978515625,21955.130859375,27692.7978515625,27692.7978515625,25672.48828125,27692.7978515625,27692.7978515625,40433.10546875,27692.7978515625,32816.984375,39625.317708333336,39625.317708333336,39625.317708333336,39625.317708333336,39625.317708333336,35457.85546875,39625.317708333336,39625.317708333336,28962.3828125,54455.71484375,39105.22670200893,38210.828125,49951.484375,16183.3486328125,35376.81640625,54148.33984375,39784.421875,40081.34765625,39105.22670200893,39105.22670200893,59971.46875,69370.046875,59112.6484375,55476.73220486111,50335.3984375,59979.0390625,60248.65625,51759.0546875,47807.58203125,40706.6953125
Cycs,93179.1875,53468.33203125,87570.9296875,48158.046875,53829.30078125,92377.9375,108223.28125,43398.77734375,76498.1640625,49710.6171875,55013.4453125,55521.6953125,72531.125,54244.0703125,97777.1640625,55793.2734375,78606.640625,69844.73654513889,65084.37890625,116152.2734375,35071.55078125,53342.15234375,108858.7109375,59601.5,66096.140625,57933.55078125,78830.515625,54520.78515625,33674.19921875,48959.1484375,113464.5703125,141993.8125,82908.859375,75182.421875,176893.09375,206214.734375,77796.3046875,53426.8046875,163048.796875,67897.0703125,155054.140625,67218.046875
Angptl3,10575.4951171875,17816.67654079861,14825.4716796875,12639.2080078125,21692.859375,17816.67654079861,16047.5419921875,19602.998046875,17816.67654079861,25687.453125,15781.3310546875,23497.73046875,19671.664713541668,9539.73828125,19671.664713541668,10293.681640625,17293.478515625,30155.0,19671.664713541668,19671.664713541668,27875.34375,22872.74609375,9792.7724609375,13112.82421875,7247.546875,18373.390625,10232.9013671875,35135.60546875,19883.900390625,35552.55859375,16029.015625,18373.390625,19527.37890625,24886.64453125,11438.3486328125,21624.38747829861,31304.41796875,25939.6484375,16769.814453125,21700.07421875,25057.37109375,17995.7890625
Ltf,23133.6484375,31860.16384548611,27348.462890625,49243.0625,31860.16384548611,24440.947265625,28031.568359375,31860.16384548611,25122.751953125,30609.58203125,32647.697265625,46163.75390625,32015.596819196428,32015.596819196428,22071.5703125,32015.596819196428,29953.041015625,48226.9375,33482.96484375,23371.015625,36780.89453125,30222.75390625,41007.76953125,63204.078125,31783.4296875,37683.75,65126.0234375,51209.80078125,62089.5625,65391.89453125,21585.1328125,19474.97265625,109949.515625,118151.5390625,30674.216796875,34486.97265625,105938.21875,41902.859375,17884.984375,26155.083984375,24684.81640625,35541.3203125
Srgn,178729.828125,99445.1640625,192004.96875,104903.9453125,103782.4375,174583.40625,211109.171875,159564.890625,364247.375,158746.65625,189806.046875,114905.7109375,110778.578125,93497.9609375,200603.109375,129130.78125,215097.734375,221799.40625,450937.78125,324605.4375,193568.859375,121293.4453125,235967.5625,111461.4609375,184038.84375,123890.765625,104231.375,258146.84375,229817.578125,253127.21875,182249.34375,405187.75,243931.59375,251390.125,330873.875,381948.875,164588.46875,175498.921875,209677.15625,138323.515625,140954.828125,223545.421875
Napsa,22198.57882254464,18922.84765625,22198.57882254464,17970.375,34145.37890625,35845.41015625,22198.57882254464,10991.8134765625,22198.57882254464,20652.2578125,22198.57882254464,16861.96875,21779.62890625,31259.87109375,26671.683756510414,22007.091796875,26671.683756510414,31221.609375,26671.683756510414,26671.683756510414,14918.2841796875,38843.6171875,26375.786783854168,17080.943359375,42775.7109375,17380.958984375,21025.33203125,26375.786783854168,30124.5546875,29867.220703125,26375.786783854168,26375.786783854168,35521.46875,39112.35546875,31687.01318359375,31687.01318359375,33937.26953125,18176.958984375,31687.01318359375,31687.01318359375,31687.01318359375,31687.01318359375
Mdh1,25837.013671875,24346.30859375,25868.179524739586,12772.7841796875,35041.73828125,45462.234375,25868.179524739586,25868.179524739586,25868.179524739586,25868.179524739586,25868.179524739586,11748.998046875,14229.873046875,5176.59228515625,14124.9873046875,8180.662109375,14151.754952566964,14724.400390625,14151.754952566964,14151.754952566964,18820.6640625,23805.10546875,26981.77319335937,25047.90234375,23616.1328125,20122.798828125,28901.61328125,27435.970703125,21957.00390625,28533.830078125,40238.93359375,26981.77319335937,45640.10546875,48302.8828125,65319.94140625,56626.265625,40431.15234375,20020.703125,39495.75868055556,18064.44921875,32701.56640625,28354.76171875
Ezr,17345.77734375,24824.095703125,19394.068359375,23203.755859375,28457.203125,20873.6875,17401.1484375,17230.291015625,12141.484375,19297.9140625,12004.8525390625,21478.650390625,23242.513671875,18894.673828125,19640.3203125,17434.97265625,9254.87109375,22150.162109375,24925.201171875,18586.607421875,22033.755859375,20240.125,16321.4755859375,23052.9375,17989.228515625,24128.767578125,28203.86328125,29077.822265625,24996.646484375,26455.658203125,13932.689453125,22684.34320746528,58465.3046875,56158.0,57568.71875,57047.1640625,56722.671875,17561.625,40718.36697048611,17354.5390625,19875.5,25711.779296875
Adgrf5,25767.302734375,25067.60546875,17760.29296875,32604.74609375,26724.5263671875,18572.337890625,29429.220703125,26724.5263671875,33118.109375,26724.5263671875,31476.595703125,26724.5263671875,22832.9609375,14796.05859375,13950.2373046875,11592.5966796875,20204.393973214286,20204.393973214286,33129.76171875,20926.107421875,20204.393973214286,24203.03515625,21902.34765625,17228.169921875,27308.27880859375,27308.27880859375,39713.7421875,27308.27880859375,27308.27880859375,27308.27880859375,27308.27880859375,30388.85546875,40317.80078125,16440.5859375,24455.83359375,24455.83359375,24455.83359375,21155.873046875,25150.408203125,24455.83359375,24455.83359375,19214.5
Got1,13886.66259765625,17307.451171875,17204.0546875,13886.66259765625,21340.0390625,17972.31640625,13886.66259765625,5931.32421875,13886.66259765625,10334.0546875,12093.6865234375,8910.3740234375,18130.21875,14440.859375,16332.412109375,14789.4326171875,10178.076171875,15878.62109375,21334.71875,16385.283203125,15179.6142578125,21203.595703125,21261.609375,15940.02734375,23340.12890625,15793.083984375,21840.54296875,17132.921875,18851.49598524305,17906.96484375,23231.82421875,13216.3603515625,22032.626953125,25039.158203125,48982.5625,19493.34375,23379.046875,16809.279296875,4676.6884765625,20910.03515625,8827.2138671875,20129.232421875
Reg3g,31451.412109375,83121.5625,51125.453125,28807.619140625,37572.03125,57983.234375,117808.765625,23765.703125,30723.3359375,44130.07421875,51234.91796875,35072.64453125,41108.47265625,34244.8125,79057.7578125,59680.9375,27463.83203125,87002.0,51341.50542534722,29848.107421875,46828.734375,56838.89453125,124102.359375,116537.890625,27364.23828125,81285.55053710938,76213.28125,142158.34375,83865.2265625,50782.13671875,81285.55053710938,29260.927734375,98949.9375,98351.4921875,134615.453125,69638.5859375,61095.60546875,49883.34375,82650.2421875,124585.203125,51586.06640625,44067.875
Serpinb1a,25955.517578125,26856.45703125,22510.484375,28514.802734375,40360.5859375,19017.072265625,21670.87109375,24449.525390625,25955.517578125,28888.119140625,28337.541015625,18949.716796875,24048.4140625,27465.515625,12010.076171875,26236.2265625,26308.66238839286,25588.77734375,48747.19140625,26308.66238839286,26308.66238839286,20064.435546875,20341.029296875,28852.337890625,10978.6025390625,39955.15234375,23444.97265625,27137.201171875,26220.260131835938,29959.662109375,26220.260131835938,29093.123046875,51651.29296875,53498.7265625,53269.8828125,35844.4375,40238.84375,22010.7734375,12915.595703125,20106.287109375,35074.55620659722,26135.166015625
