pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0.2Gy_3d_1.raw.PG.Quantity,0.2Gy_3d_2.raw.PG.Quantity,0.2Gy_3d_5.raw.PG.Quantity,0.2Gy_3d_8.raw.PG.Quantity,0.2Gy_3d_10.raw.PG.Quantity,0.2Gy_7d_4.raw.PG.Quantity,0.2Gy_7d_7.raw.PG.Quantity,0.2Gy_7d_8.raw.PG.Quantity,0.2Gy_7d_9.raw.PG.Quantity,0.2Gy_7d_10.raw.PG.Quantity,0.5Gy_3d_4.raw.PG.Quantity,0.5Gy_3d_5.raw.PG.Quantity,0.5Gy_3d_6.raw.PG.Quantity,0.5Gy_3d_7.raw.PG.Quantity,0.5Gy_3d_9.raw.PG.Quantity,0.5Gy_7d_1.raw.PG.Quantity,0.5Gy_7d_5.raw.PG.Quantity,0.5Gy_7d_6.raw.PG.Quantity,0.5Gy_7d_7.raw.PG.Quantity,0.5Gy_7d_9.raw.PG.Quantity,2Gy_3d_1.raw.PG.Quantity,2Gy_3d_3.raw.PG.Quantity,2Gy_3d_6.raw.PG.Quantity,2Gy_3d_7.raw.PG.Quantity,2Gy_3d_8.raw.PG.Quantity,2Gy_7d_2.raw.PG.Quantity,2Gy_7d_4.raw.PG.Quantity,2Gy_7d_6.raw.PG.Quantity,2Gy_7d_8.raw.PG.Quantity,2Gy_7d_10.raw.PG.Quantity,6.5Gy_3d_3.raw.PG.Quantity,6.5Gy_3d_4.raw.PG.Quantity,6.5Gy_3d_7.raw.PG.Quantity,6.5Gy_3d_8.raw.PG.Quantity,6.5Gy_3d_10.raw.PG.Quantity,6.5Gy_7d_3.raw.PG.Quantity,6.5Gy_7d_6.raw.PG.Quantity,6.5Gy_7d_8.raw.PG.Quantity,6.5Gy_7d_9.raw.PG.Quantity,6.5Gy_7d_10.raw.PG.Quantity,10Gy_3d_3.raw.PG.Quantity,10Gy_3d_4.raw.PG.Quantity,10Gy_3d_6.raw.PG.Quantity,10Gy_3d_8.raw.PG.Quantity,10Gy_3d_10.raw.PG.Quantity,10Gy_7d_1.raw.PG.Quantity,10Gy_7d_2.raw.PG.Quantity,10Gy_7d_3.raw.PG.Quantity,10Gy_7d_4.raw.PG.Quantity,10Gy_7d_5.raw.PG.Quantity
Serpina7,141190.0313,59215.60547,115296.2188,62224.43359,91578.3125,118127.4922,137476.6563,68235.27344,138082.5313,45983.54688,74508.21094,97554.35156,87732.24219,104287.8359,190828.25,113450.7188,71691.39063,118585.9219,156991.1563,132719.9063,96495.73438,112354.0859,138073.375,83871.03125,93731.42969,224733.8438,176194.375,185011.3281,107219.9453,132033.9219,82128.17188,141018.9688,200514.9531,66254.23438,236802.9531,53740.40625,68645.14063,87458.33594,190941.3125,193217.5781,137824.875,87921.15625,152428.9063,86647.79688,194966.6563,88093.21094,104540.9453,127567.2031,226131.6563,273373.0625,132121.9688,133314.0625,209351.7344,194424.375,116132.6406,102456.9609,127405.3516,448119.75,367811.875,426698.875,947204.6875,592145.5625
Serpina3n,2199042.25,1818742.875,2722851.25,2325462.25,2535002,1874091.5,2180170.5,1854680.5,2346189.75,2220252,2598500,2735225,1731977.125,1759474.75,2751026.75,1284409.125,2049223.5,2490267.25,3126375,2463276.5,2507387.25,2225235.75,2057272,1859444.625,1899018.875,2025642.375,1581508.75,2177401.75,1863141,2486398,2085426.125,1740040.375,3153497.5,2438157,2633986,2071592.25,2310595.75,2680000.25,3193991,2241327,2353106.25,2477354.25,5044366,3780414.25,4646170.5,4573638,3263355.5,2550530.75,4048783.75,3648020.25,3207792.25,3479399.75,6067307,7547359.5,5359173,5896268.5,5917311,28802490,16326046,29611444,90885888,93560720
Itih3,1141759.125,758739,1395774,633751.75,543582.8125,1031449.313,1335381.625,1348316.875,1408173,1629387,1629562,551006.625,499149.5,700584.125,1262897,1062471.5,775769.375,1604093.875,1460178.375,1290484,980940.75,1080369.75,381961.25,616886.25,525671.8125,1188547.125,1137428.625,1409792.375,1167883.375,229028.9219,1133886.875,861230,1558842.125,888917.875,1454818.5,983591.9375,980236.1875,826195.8125,1573430.5,837429.5,1671710.875,741211.5,2128083.75,1416663,1928268.75,1626765.25,1522337.125,868381.1875,1196606,1223686.75,1550863.375,986184.5625,3052752.75,3522851.25,2765491.25,3144984.75,2459948,6797554,7108502,7916649,10454594,9088857
Itih4,8441452,5726814.5,9517454,7456624,7775322,9056407,8321632.5,6056670.5,8156421.5,6620103.5,8856086,9592234,8203772.5,9161548,13930047,11325261,8309799.5,11747035,14392126,11268470,9398068,9108149,10466028,7691590,8169553.5,9717634,8501050,8391121,8948456,10368011,8750098,8491135,10566111,9242122,10680171,9666941,9661922,9530911,9114532,11267704,10916824,8321272,12566069,12387245,14303038,10510447,9447979,7746325.5,10987103,12745894,11016434,9289064,14716704,15990585,11667153,11999902,11981885,41427684,28404132,27317960,81957176,54141080
Apcs,536776.375,560992.25,1002424,668300.6875,873052,282288.3125,461322.4688,430587.9688,462157.5,584204.375,628297.5,685691.8125,440750.7188,378269.4063,729546.75,780296.75,636618.375,737897.125,944917.625,511549.0625,741982.3125,452593.75,425608.2813,393343.4063,477505.9375,326654.7813,364996.0625,525069.5,437993.875,321839.875,291017.125,303102.25,638708.6875,326978.875,489953.4375,296804.25,443805.0313,308939.9688,523590.9063,312819.375,614449.75,199586.0938,735115.3125,634220.875,759844.9375,820349.9375,519627.0938,332051.5313,594414,504753.9063,527094.8125,317864,1177288.75,1397877.5,1125418.625,1093109,1390050.75,7502729.5,5657596,6389972.5,22555984,19266696
Saa4,417891.25,501965.9688,695027.375,639956.125,726478.0625,486310.5,407610.4063,362832.3125,384204.4688,443884,428974.4375,522668.125,514300.8125,398081.6563,532244.0625,480569,548056.6875,618231.9375,452618.7813,407032,679954.625,629370.8125,449945.5,418595.7188,418660.375,309076.9375,294140.625,532579.25,549578.625,661800.75,531795.375,390750.9688,745934.9375,558327,579194.375,788392.375,569570.3125,504760.9063,648333.25,651150.4375,520642.9375,562755.9375,626235.1875,686737.875,630474.0625,713470,758530.0625,768268.625,507107.4063,648051.3125,561784.5625,605353,723846.125,702631.25,950870.625,590177.875,987251.3125,2066289.875,2573275.75,2272546.25,3852604,2268710.75
Igfals,824981.75,474560.4688,841919.25,641444.5625,599573.75,771148.75,676153.375,584222,664558.8125,512766.7188,531328.1875,597979.125,586007.9375,605524.5625,688110.4375,696188.4375,614413.375,565961.25,591522.5,732118.9375,582411.0625,539081.5,558410.8125,535642.8125,550932.9375,655626.25,650949.875,721997.1875,521786.5,502199.9375,615018.625,524623.3125,740567.3125,409009.5313,651476.75,516706.8125,579271.1875,563769.0625,850967.5625,446968.0625,922657.5625,619212.3125,738089.875,549829.375,699506.875,536999.75,479296.125,466528.5,765925.375,608712.8125,523320.9688,448007.125,453212.0625,303407.5,314117.625,291768.75,417788.5625,116147.8125,245703.7656,258737.1641,112390.5469,74097.85156
Orm2,2267321.75,2098334.25,2137347.5,1374276.75,2076942.25,1885788.375,2351498.25,2587693,1752788.375,4005417.25,3027231.5,4212689,1030503.375,1137718.75,2408540.5,2060849.5,1104011,3743156.5,3712671.5,2158370.75,3896353.75,3138114.5,1123521.625,987625.3125,1103682.375,1782903.375,1956631.25,1737393.125,1701538.75,570790.6875,2464208.5,1188545,5174446.5,1724310.5,3616863.75,1055698.625,3122748,1670157.375,2952808.75,1650478.5,2549583.5,1439364.75,5324322.5,3725142.5,7096304.5,2875042.25,3248740.5,1319179.5,2666239.75,2990981.25,1480845.625,1690735.875,4961237.5,3100743.5,7424572.5,7043965,8116473.5,26033568,31557502,49344976,55796392,61807564
Bpifa2,83908.74219,27066.72461,284205.5938,104023.1641,217475.9844,29222.4082,28842.65039,17649.89453,14393.60645,27626.4375,31752.46484,37005.50391,27274.27539,29751.05664,106671.6484,88815.08594,27762.22656,27047.70703,52676.8457,88932.88281,25159.88281,52676.8457,25457.76563,47420.84375,44104.51953,92495.96094,67678.125,44251.21875,20500.9375,26106.68945,35535.76563,61735.27734,54352.89844,26203.90625,104510.2813,88751.82813,81770.61719,26083.91992,9643.116211,30974.375,14079.21191,26698.3418,135703.125,58434.10938,171578.0313,56862.39844,80909.39063,237604.25,93830.87077,13641.44629,51349.32422,38395.76172,786788.8125,369041.5,640986.6875,306548.3438,1340679.375,591031.0625,145712.7813,148406.9688,766736.375,127061.2734
Masp1,222749.5156,175714.9531,190536.8125,178147.2969,181748.9531,176707.7031,224802.6719,234747.5469,172069.2813,233335.3594,208555.3281,147556.5781,174721.7188,109442.8281,207547.5625,212597.125,132896.0156,179914.2656,201266.6406,192017.4063,208461.9688,124581.4375,191015.7031,153121.0625,171957.0313,219475.375,218646.4375,209701.0625,186891.4844,143889.6563,207783.5156,193700.6094,161051.3438,161045.4375,152641.1563,156743.9531,161292.4063,177711.0156,141507.7344,153401.9531,137603.2188,175285.1094,114721.75,172505.6719,112505.5391,139969.2188,150739.5,115197.875,143700.3594,126234.2734,159208.8281,127859.0313,130038.0547,124590.8125,103691.8203,143492.875,104479.6328,132690.375,141819.4063,125237.25,136445.9531,76247.38281
