pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0.2Gy_6h_1.raw.PG.Quantity,0.2Gy_6h_5.raw.PG.Quantity,0.2Gy_6h_6.raw.PG.Quantity,0.2Gy_6h_7.raw.PG.Quantity,0.2Gy_6h_8.raw.PG.Quantity,0.2Gy_1d_2.raw.PG.Quantity,0.2Gy_1d_5.raw.PG.Quantity,0.2Gy_1d_6.raw.PG.Quantity,0.2Gy_1d_7.raw.PG.Quantity,0.2Gy_1d_9.raw.PG.Quantity,0.2Gy_3d_1.raw.PG.Quantity,0.2Gy_3d_2.raw.PG.Quantity,0.2Gy_3d_5.raw.PG.Quantity,0.2Gy_3d_8.raw.PG.Quantity,0.2Gy_3d_10.raw.PG.Quantity,0.5Gy_6h_1.raw.PG.Quantity,0.5Gy_6h_3.raw.PG.Quantity,0.5Gy_6h_4.raw.PG.Quantity,0.5Gy_6h_5.raw.PG.Quantity,0.5Gy_6h_7.raw.PG.Quantity,0.5Gy_1d_1.raw.PG.Quantity,0.5Gy_1d_2.raw.PG.Quantity,0.5Gy_1d_6.raw.PG.Quantity,0.5Gy_1d_7.raw.PG.Quantity,0.5Gy_1d_10.raw.PG.Quantity,0.5Gy_3d_4.raw.PG.Quantity,0.5Gy_3d_5.raw.PG.Quantity,0.5Gy_3d_6.raw.PG.Quantity,0.5Gy_3d_7.raw.PG.Quantity,0.5Gy_3d_9.raw.PG.Quantity,2Gy_6h_2.raw.PG.Quantity,2Gy_6h_4.raw.PG.Quantity,2Gy_6h_5.raw.PG.Quantity,2Gy_6h_7.raw.PG.Quantity,2Gy_6h_9.raw.PG.Quantity,2Gy_1d_1.raw.PG.Quantity,2Gy_1d_5.raw.PG.Quantity,2Gy_1d_6.raw.PG.Quantity,2Gy_1d_7.raw.PG.Quantity,2Gy_1d_10.raw.PG.Quantity,2Gy_3d_1.raw.PG.Quantity,2Gy_3d_3.raw.PG.Quantity,2Gy_3d_6.raw.PG.Quantity,2Gy_3d_7.raw.PG.Quantity,2Gy_3d_8.raw.PG.Quantity,6.5Gy_6h_2.raw.PG.Quantity,6.5Gy_6h_5.raw.PG.Quantity,6.5Gy_6h_8.raw.PG.Quantity,6.5Gy_6h_9.raw.PG.Quantity,6.5Gy_6h_10.raw.PG.Quantity,6.5Gy_1d_1.raw.PG.Quantity,6.5Gy_1d_2.raw.PG.Quantity,6.5Gy_1d_3.raw.PG.Quantity,6.5Gy_1d_6.raw.PG.Quantity,6.5Gy_1d_10.raw.PG.Quantity,6.5Gy_3d_3.raw.PG.Quantity,6.5Gy_3d_4.raw.PG.Quantity,6.5Gy_3d_7.raw.PG.Quantity,6.5Gy_3d_8.raw.PG.Quantity,6.5Gy_3d_10.raw.PG.Quantity,10Gy_6h_3.raw.PG.Quantity,10Gy_6h_4.raw.PG.Quantity,10Gy_6h_5.raw.PG.Quantity,10Gy_6h_8.raw.PG.Quantity,10Gy_6h_10.raw.PG.Quantity,10Gy_1d_3.raw.PG.Quantity,10Gy_1d_6.raw.PG.Quantity,10Gy_1d_7.raw.PG.Quantity,10Gy_1d_9.raw.PG.Quantity,10Gy_1d_10.raw.PG.Quantity,10Gy_3d_3.raw.PG.Quantity,10Gy_3d_4.raw.PG.Quantity,10Gy_3d_6.raw.PG.Quantity,10Gy_3d_8.raw.PG.Quantity,10Gy_3d_10.raw.PG.Quantity
Tnc,34623.890625,58155.30859375,36792.76953125,49949.390625,48926.90625,32589.17578125,43538.203125,35838.88671875,33660.94921875,29670.958984375,29047.0703125,69205.8671875,36100.15234375,36699.3046875,15063.1298828125,46219.94140625,26614.99609375,41871.359375,52885.5859375,19697.46484375,53733.23046875,42483.5703125,38506.93359375,59466.29296875,44249.22265625,41907.25,52657.64453125,32207.900390625,32439.064453125,29491.056640625,37866.765625,35923.56640625,39933.16796875,43139.03515625,54683.26171875,42162.71484375,51155.390625,64232.171875,53471.328125,56265.0625,43175.8125,46981.234375,43840.1328125,34894.890625,36380.578125,33518.1640625,42950.38671875,72123.7890625,91074.9140625,77139.0703125,76302.859375,69434.46875,97811.984375,79568.0625,68701.546875,75172.4140625,81428.3984375,29667.373046875,50164.05078125,33544.98046875,46602.515625,67476.046875,71270.2265625,55366.3359375,72644.40625,70811.8515625,78310.625,154233.453125,186319.53125,174953.953125,170513.65625,157842.359375,58380.0078125,66146.5,55571.5078125,43919.93359375,37286.4140625,64255.30859375,75337.8984375,62525.19921875,72498.984375,84984.9609375,121723.859375,134986.265625,120678.328125,107472.640625,113783.703125
Serpina3n,2199042.25,1818742.875,2722851.25,2325462.25,2535002.0,1874091.5,2180170.5,1854680.5,2346189.75,2220252.0,2598500.0,2735225.0,2032095.125,2137226.0,2276841.5,2180486.5,2128907.25,3816175.25,3241408.25,5443862.5,2327843.0,2366884.25,1731977.125,1759474.75,2751026.75,1284409.125,2049223.5,2436734.0,2081957.125,1954850.125,2604542.5,2164372.5,2954110.5,1883212.75,4119355.0,2724001.0,2707557.0,2057272.0,1859444.625,1899018.875,2025642.375,1581508.75,2598879.5,2418267.25,2679433.25,3159306.0,2337092.5,4113972.0,4188059.5,5594195.0,6523572.0,3882139.25,3153497.5,2438157.0,2633986.0,2071592.25,2310595.75,3480993.25,4149919.0,4425310.5,3193461.0,7214614.5,7014915.0,8003473.0,9828138.0,13916988.0,11786672.0,5044366.0,3780414.25,4646170.5,4573638.0,3263355.5,3194831.75,3898446.0,4093367.75,4566671.0,5243568.0,6672388.0,7564631.5,9211256.0,13672143.0,16421536.0,6067307.0,7547359.5,5359173.0,5896268.5,5917311.0
Itih3,1141759.125,758739.0,1395774.0,633751.75,543582.8125,1031449.3125,1335381.625,1348316.875,1408173.0,1629387.0,1629562.0,551006.625,823855.3125,656046.125,1233262.625,745683.0,902975.375,1754360.875,1454451.875,2294076.75,1162429.125,856132.5625,499149.5,700584.125,1262897.0,1062471.5,775769.375,1050809.75,884542.1875,1918566.375,794814.875,455981.78125,905984.4375,1398401.5,1529604.125,1571585.875,1459841.75,381961.25,616886.25,525671.8125,1188547.125,1137428.625,1266914.25,1033814.375,1402384.875,1105741.25,1021790.4375,1472863.875,1271155.5,1864527.0,1785801.25,846387.0,1558842.125,888917.875,1454818.5,983591.9375,980236.1875,615578.0,758358.375,1131023.5,1247730.25,1074183.25,2200110.5,1718025.125,2031284.75,3015740.5,2641399.5,2128083.75,1416663.0,1928268.75,1626765.25,1522337.125,1070583.125,573295.8125,244806.109375,1415372.75,1289608.75,2309924.75,2317367.75,2724391.0,2469811.5,3164313.0,3052752.75,3522851.25,2765491.25,3144984.75,2459948.0
Itih4,8441452.0,5726814.5,9517454.0,7456624.0,7775322.0,9056407.0,8321632.5,6056670.5,8156421.5,6620103.5,8856086.0,9592234.0,8043793.0,7292788.0,9513156.0,7571056.0,8812320.0,13040422.0,10216980.0,17844382.0,8340816.0,8273310.5,8203772.5,9161548.0,13930047.0,11325261.0,8309799.5,9836781.0,7266008.5,9561636.0,8023853.0,8925199.0,7773253.0,7971907.0,10645950.0,8670618.0,8524789.0,10466028.0,7691590.0,8169553.5,9717634.0,8501050.0,8255319.0,7519746.5,11024690.0,9767072.0,8373253.0,9247744.0,13161454.0,16548664.0,12861288.0,8247798.0,10566111.0,9242122.0,10680171.0,9666941.0,9661922.0,10612046.0,9166210.0,8374991.0,8216369.5,12675312.0,19279236.0,11713915.0,17483630.0,26782788.0,19934480.0,12566069.0,12387245.0,14303038.0,10510447.0,9447979.0,8791796.0,8654230.0,11617667.0,9670933.0,9902714.0,11222999.0,10477074.0,12075903.0,19386674.0,19995612.0,14716704.0,15990585.0,11667153.0,11999902.0,11981885.0
Apcs,536776.375,560992.25,1002424.0,668300.6875,873052.0,282288.3125,461322.46875,430587.96875,462157.5,584204.375,628297.5,685691.8125,656633.8125,614713.375,604203.9375,585995.625,555433.125,1677412.125,704961.5625,2092879.25,692563.6875,495195.53125,440750.71875,378269.40625,729546.75,780296.75,636618.375,472139.0,592941.4375,558446.375,613787.5,377379.125,461738.28125,558754.75,852049.1875,870045.625,591668.0,425608.28125,393343.40625,477505.9375,326654.78125,364996.0625,661178.6875,482617.375,512959.6875,563386.625,785996.3125,1328283.75,660415.0,1833794.625,1230729.375,380454.875,638708.6875,326978.875,489953.4375,296804.25,443805.03125,418903.4375,430847.9375,547044.75,363154.09375,592483.9375,1809961.25,1756592.375,1611803.125,2481932.0,1919673.625,735115.3125,634220.875,759844.9375,820349.9375,519627.09375,661903.5,758137.6875,367026.375,414169.0625,811358.3125,1835191.0,1939700.625,2049691.375,2509498.25,2676926.25,1177288.75,1397877.5,1125418.625,1093109.0,1390050.75
Mmp2,39959.3359375,42552.921875,48312.90234375,29652.40625,30009.359375,38843.515625,40773.7734375,32046.06640625,47086.7578125,34418.578125,39485.4375,45146.16015625,36227.65234375,40893.44140625,28010.376953125,33620.95703125,34026.59375,40951.01171875,45051.34765625,35432.296875,31928.484375,37550.796875,28686.41015625,27992.427734375,108957.015625,41458.0234375,40948.56640625,39650.2109375,27383.3046875,45602.828125,46795.78515625,39851.125,40022.08984375,24609.0,47677.9296875,49247.6640625,42035.6484375,29954.94140625,35560.5234375,32372.365234375,48221.41796875,42309.8359375,34733.90625,39582.73828125,67740.546875,127376.171875,40360.46875,44486.296875,54836.68359375,51381.25,52253.03515625,36540.57421875,52688.234375,39959.03125,56020.3203125,50265.1640625,46417.90234375,40582.6875,28805.935546875,82920.953125,46123.24609375,63063.651088169645,58977.75390625,39109.953125,49652.6796875,176373.875,48323.6171875,82327.3515625,59072.8203125,75235.9609375,40887.078125,54497.203125,36690.71484375,31475.896484375,21723.82421875,41165.90234375,38922.33984375,44468.26953125,63290.953125,90892.234375,62760.87890625,54313.625,60272.17578125,109133.765625,53572.30859375,65255.78515625,49569.13671875
Saa4,417891.25,501965.96875,695027.375,639956.125,726478.0625,486310.5,407610.40625,362832.3125,384204.46875,443884.0,428974.4375,522668.125,661725.0,699390.875,442335.46875,606022.125,541942.75,507284.90625,365828.25,489027.21875,455897.21875,510186.90625,514300.8125,398081.65625,532244.0625,480569.0,548056.6875,476300.5625,775742.75,351233.15625,655484.3125,637779.5625,557198.9375,661439.5625,739696.125,289688.6875,450624.65625,449945.5,418595.71875,418660.375,309076.9375,294140.625,666736.5,512277.21875,564597.9375,658269.1875,687360.75,915885.3125,930705.4375,1035263.75,719367.5625,704187.8125,745934.9375,558327.0,579194.375,788392.375,569570.3125,1115518.0,733638.5625,718728.875,776080.4375,953922.6875,1537184.5,1032287.1875,1189516.5,1472952.0,1307796.375,626235.1875,686737.875,630474.0625,713470.0,758530.0625,547506.9375,803790.8125,372402.5,799087.6875,785955.5,985669.25,720758.25,965524.875,1103611.5,1330498.5,723846.125,702631.25,950870.625,590177.875,987251.3125
Psma1,29454.5234375,30336.75390625,22425.529296875,24649.724609375,26775.986328125,27537.1171875,24636.451171875,24240.36298828125,16093.5068359375,24240.36298828125,11162.775390625,29331.26171875,28029.90625,26518.736328125,20690.68359375,30512.751953125,51536.484375,15573.6044921875,26806.442608173078,9085.6181640625,27132.84765625,33900.9609375,32259.619140625,28106.505859375,17517.31640625,26806.442608173078,27618.71875,25891.486328125,37206.0625,46586.93359375,25719.787109375,32136.3828125,39685.9296875,31677.4609375,36146.515625,43164.0859375,42177.8984375,24947.89453125,23326.015625,25277.75390625,25571.107421875,27463.72265625,40892.80859375,41745.4609375,30149.185546875,49777.60546875,44215.296875,42410.12890625,45459.234375,35501.6171875,43201.40625,44084.83984375,37681.44921875,40427.03948102678,41419.125,34219.75390625,35220.640625,44947.765625,40606.91796875,43730.1328125,41572.98046875,51395.4453125,48362.5703125,40631.2421875,41765.34375,40747.41015625,46941.9140625,49909.28125,44008.15234375,22343.1171875,38171.61328125,42561.03125,18151.5546875,41836.546875,30130.9296875,33886.48046875,36265.94140625,35895.1171875,21922.74609375,26645.982421875,42166.8671875,41345.625,28221.361328125,47838.58203125,26119.466796875,20889.90625,20847.10546875
Flt4,100478.53125,101415.09375,89528.171875,112008.7578125,103107.46875,87328.5546875,117580.609375,97881.90625,89952.0234375,86468.0390625,95527.9296875,98026.953125,108854.3125,108770.734375,126121.7421875,96848.078125,121140.921875,96679.90625,1249601.0,87177.046875,98367.1953125,105909.984375,97008.578125,92754.734375,99873.578125,74774.6640625,118959.453125,107784.828125,107213.6484375,117047.515625,105877.703125,136884.25,85413.609375,113847.15625,96854.625,82550.546875,89008.9765625,113483.0078125,103655.984375,103848.1796875,97276.515625,108569.9296875,111724.21875,126834.4296875,111247.96875,123558.234375,103019.2578125,97782.625,100529.546875,67494.0859375,1354150.625,83896.3046875,81615.65625,72612.0546875,1241872.875,85691.640625,77405.1953125,103971.4453125,97715.171875,120985.3046875,88917.4765625,111521.3828125,103149.3359375,66735.1640625,69436.3125,95946.3515625,74744.5,103033.09375,91344.984375,77914.171875,86036.453125,80003.15625,120355.515625,73191.578125,153653.0,100575.1328125,105191.40625,63460.7421875,70261.71875,65831.6640625,79118.84375,83180.921875,87357.375,85106.0859375,71973.1328125,74337.3359375,63959.84375
Orm2,2267321.75,2098334.25,2137347.5,1374276.75,2076942.25,1885788.375,2351498.25,2587693.0,1752788.375,4005417.25,3027231.5,4212689.0,1312051.75,1305166.0,2210096.0,914466.125,2081021.375,1779334.5,1951162.875,2582725.0,3357196.75,1862290.875,1030503.375,1137718.75,2408540.5,2060849.5,1104011.0,1736017.5,1406799.25,1527910.125,1203199.375,1526892.375,1647211.0,1593685.5,1771890.0,1929222.5,2128194.0,1123521.625,987625.3125,1103682.375,1782903.375,1956631.25,1127143.625,1387382.25,2361479.0,2499549.25,1340587.125,1776577.5,3411794.5,3963524.75,3803564.75,1219008.625,5174446.5,1724310.5,3616863.75,1055698.625,3122748.0,1294043.75,1078494.875,2038954.625,1266537.125,2397397.75,6272832.5,3390805.5,4469379.0,10389731.0,5001817.0,5324322.5,3725142.5,7096304.5,2875042.25,3248740.5,1176320.875,1708241.875,1129693.75,1902875.875,2118789.25,5978043.5,6698211.0,6997440.0,8061152.5,10447373.0,4961237.5,3100743.5,7424572.5,7043965.0,8116473.5
