pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0.2Gy_6h_1.raw.PG.Quantity,0.2Gy_6h_5.raw.PG.Quantity,0.2Gy_6h_6.raw.PG.Quantity,0.2Gy_6h_7.raw.PG.Quantity,0.2Gy_6h_8.raw.PG.Quantity,0.2Gy_1d_2.raw.PG.Quantity,0.2Gy_1d_5.raw.PG.Quantity,0.2Gy_1d_6.raw.PG.Quantity,0.2Gy_1d_7.raw.PG.Quantity,0.2Gy_1d_9.raw.PG.Quantity,0.2Gy_3d_1.raw.PG.Quantity,0.2Gy_3d_2.raw.PG.Quantity,0.2Gy_3d_5.raw.PG.Quantity,0.2Gy_3d_8.raw.PG.Quantity,0.2Gy_3d_10.raw.PG.Quantity,0.5Gy_6h_1.raw.PG.Quantity,0.5Gy_6h_3.raw.PG.Quantity,0.5Gy_6h_4.raw.PG.Quantity,0.5Gy_6h_5.raw.PG.Quantity,0.5Gy_6h_7.raw.PG.Quantity,0.5Gy_1d_1.raw.PG.Quantity,0.5Gy_1d_2.raw.PG.Quantity,0.5Gy_1d_6.raw.PG.Quantity,0.5Gy_1d_7.raw.PG.Quantity,0.5Gy_1d_10.raw.PG.Quantity,0.5Gy_3d_4.raw.PG.Quantity,0.5Gy_3d_5.raw.PG.Quantity,0.5Gy_3d_6.raw.PG.Quantity,0.5Gy_3d_7.raw.PG.Quantity,0.5Gy_3d_9.raw.PG.Quantity,2Gy_6h_2.raw.PG.Quantity,2Gy_6h_4.raw.PG.Quantity,2Gy_6h_5.raw.PG.Quantity,2Gy_6h_7.raw.PG.Quantity,2Gy_6h_9.raw.PG.Quantity,2Gy_1d_1.raw.PG.Quantity,2Gy_1d_5.raw.PG.Quantity,2Gy_1d_6.raw.PG.Quantity,2Gy_1d_7.raw.PG.Quantity,2Gy_1d_10.raw.PG.Quantity,2Gy_3d_1.raw.PG.Quantity,2Gy_3d_3.raw.PG.Quantity,2Gy_3d_6.raw.PG.Quantity,2Gy_3d_7.raw.PG.Quantity,2Gy_3d_8.raw.PG.Quantity,6.5Gy_6h_2.raw.PG.Quantity,6.5Gy_6h_5.raw.PG.Quantity,6.5Gy_6h_8.raw.PG.Quantity,6.5Gy_6h_9.raw.PG.Quantity,6.5Gy_6h_10.raw.PG.Quantity,6.5Gy_1d_1.raw.PG.Quantity,6.5Gy_1d_2.raw.PG.Quantity,6.5Gy_1d_3.raw.PG.Quantity,6.5Gy_1d_6.raw.PG.Quantity,6.5Gy_1d_10.raw.PG.Quantity,6.5Gy_3d_3.raw.PG.Quantity,6.5Gy_3d_4.raw.PG.Quantity,6.5Gy_3d_7.raw.PG.Quantity,6.5Gy_3d_8.raw.PG.Quantity,6.5Gy_3d_10.raw.PG.Quantity,10Gy_6h_3.raw.PG.Quantity,10Gy_6h_4.raw.PG.Quantity,10Gy_6h_5.raw.PG.Quantity,10Gy_6h_8.raw.PG.Quantity,10Gy_6h_10.raw.PG.Quantity,10Gy_1d_3.raw.PG.Quantity,10Gy_1d_6.raw.PG.Quantity,10Gy_1d_7.raw.PG.Quantity,10Gy_1d_9.raw.PG.Quantity,10Gy_1d_10.raw.PG.Quantity,10Gy_3d_3.raw.PG.Quantity,10Gy_3d_4.raw.PG.Quantity,10Gy_3d_6.raw.PG.Quantity,10Gy_3d_8.raw.PG.Quantity,10Gy_3d_10.raw.PG.Quantity
Serpina3n,2199042.25,1818742.875,2722851.25,2325462.25,2535002,1874091.5,2180170.5,1854680.5,2346189.75,2220252,2598500,2735225,2032095.125,2137226,2276841.5,2180486.5,2128907.25,3816175.25,3241408.25,5443862.5,2327843,2366884.25,1731977.125,1759474.75,2751026.75,1284409.125,2049223.5,2436734,2081957.125,1954850.125,2604542.5,2164372.5,2954110.5,1883212.75,4119355,2724001,2707557,2057272,1859444.625,1899018.875,2025642.375,1581508.75,2598879.5,2418267.25,2679433.25,3159306,2337092.5,4113972,4188059.5,5594195,6523572,3882139.25,3153497.5,2438157,2633986,2071592.25,2310595.75,3480993.25,4149919,4425310.5,3193461,7214614.5,7014915,8003473,9828138,13916988,11786672,5044366,3780414.25,4646170.5,4573638,3263355.5,3194831.75,3898446,4093367.75,4566671,5243568,6672388,7564631.5,9211256,13672143,16421536,6067307,7547359.5,5359173,5896268.5,5917311
Saa4,417891.25,501965.9688,695027.375,639956.125,726478.0625,486310.5,407610.4063,362832.3125,384204.4688,443884,428974.4375,522668.125,661725,699390.875,442335.4688,606022.125,541942.75,507284.9063,365828.25,489027.2188,455897.2188,510186.9063,514300.8125,398081.6563,532244.0625,480569,548056.6875,476300.5625,775742.75,351233.1563,655484.3125,637779.5625,557198.9375,661439.5625,739696.125,289688.6875,450624.6563,449945.5,418595.7188,418660.375,309076.9375,294140.625,666736.5,512277.2188,564597.9375,658269.1875,687360.75,915885.3125,930705.4375,1035263.75,719367.5625,704187.8125,745934.9375,558327,579194.375,788392.375,569570.3125,1115518,733638.5625,718728.875,776080.4375,953922.6875,1537184.5,1032287.188,1189516.5,1472952,1307796.375,626235.1875,686737.875,630474.0625,713470,758530.0625,547506.9375,803790.8125,372402.5,799087.6875,785955.5,985669.25,720758.25,965524.875,1103611.5,1330498.5,723846.125,702631.25,950870.625,590177.875,987251.3125
Hp,266101.5,202014.3281,269431.7188,1405538.625,317887.4688,473017.3438,137504,255916.3438,174797.9844,150569.2969,112430.8984,3894023,247840.4375,146382.2656,100038.625,804150.625,113521.875,16862546,178304.7813,16540331,432817.2813,201738.5156,471480.375,853189.3125,2090599.25,297449.9375,117872.1484,288562.4375,259235.75,213106.4844,759427.3125,127681.4688,245052.2969,225128.9688,5951404.5,134384.5,92272.66406,192212.0313,255875.0313,217202.7344,115428.7031,89848.51563,3499817,524186.1563,236238.4375,759473.3125,490235.9375,7511536,4818859,23809496,9508890,279652.4688,7963917,570496.6875,5557792.5,139209.5938,159671.5469,3363546,2411626.5,6710338,5019901.5,9253465,25841942,22559540,29975014,31509238,25956434,2188616,8621576,8956846,7060038,4771833,4200719,5775560,6060574.5,4681553,6265973.5,23528980,22646418,24751232,34257896,45133200,18910948,11870685,17882454,14911553,20498776
Saa1,244810.3594,71119.10938,247497.3906,40387.94922,163270.7344,175406.5156,75752.84375,67552.15625,24215.14063,44271.42188,131392.875,61399.19922,49545.72266,46565.69531,61104.51172,30660.04688,91476.50781,222980.9375,124350.0876,723249,35729.19141,33660.66406,38993.00781,55300.38672,285262.8438,10265.34766,56107.36328,204908.5469,87207.64844,126317.1797,51237.87109,45062.70703,27464.16602,81084.77344,179500.2344,112141.4766,91384.04181,91384.04181,4621.137695,91384.04181,91384.04181,85678.71875,34682.625,103821.0547,150570.1094,513339.125,90801.1875,372596.2188,994909.4375,1338816.5,1638873.25,77476.41406,113006.0625,13729.78906,70964.82031,394875.3952,14668.93848,647909.1875,686114.4375,2037841.375,386116.4688,3141983.5,4010081.25,1158763.125,1653794.5,3157767.75,1478905.625,130630.5625,21836.50195,194747.9531,64746.34375,45163.95703,234209.0469,793202.25,386767.875,1370738.5,1866476,955493.0625,1252240,1390977.375,3543523.75,4355143,633251.6875,473347.125,342176.875,196937.0938,274292.3125
Coro1a,11903.25508,9439.151367,11391.61035,11903.25508,8972.099609,11401.35449,20712.27734,13072.62305,11222.40234,10728.5166,10595.33008,11497.18555,8722.257813,14410.31702,14410.31702,12261.9248,14410.31702,11484.39355,14410.31702,14410.31702,21787.42773,22521.70313,16549.54297,12160.45117,14410.31702,14410.31702,9794.834961,12509.06847,12509.06847,12989.9834,15024.05176,11894.38477,16505.2207,12509.06847,13451.72656,12509.06847,12509.06847,11363.62207,9408.584961,11134.68945,10809.35254,12509.06847,28126.31445,30426.14844,13798.88574,17039.02515,22381.09766,7909.913086,11129.02734,17039.02515,17039.02515,11253.7832,17039.02515,17039.02515,11287.03125,17039.02515,17039.02515,79266.0625,46251.50391,65901.11719,50972.65625,77885.98438,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,64055.46484,41282.67578,45804.46875,67580.82031,52106.30469,59448.89844,6233.495117,3678.628662,23559.42719,3513.112305,7816.963867,23559.42719,7416.599609,4508.883301,3328.160889,3553.541748
Psmb8,27546.50391,17732.57422,27692.79785,21955.13086,27692.79785,27692.79785,25672.48828,27692.79785,27692.79785,40433.10547,27692.79785,32816.98438,38703.99648,38703.99648,38703.99648,38703.99648,38703.99648,35457.85547,38703.99648,38703.99648,28962.38281,54455.71484,28390.26367,38703.99648,46253.76563,38703.99648,38703.99648,38701.41028,38210.82813,49951.48438,16183.34863,35376.81641,54148.33984,39784.42188,40081.34766,38701.41028,38701.41028,38701.41028,35874.69531,38701.41028,38701.41028,38701.41028,59971.46875,69370.04688,59112.64844,53112.96261,50335.39844,59979.03906,60248.65625,51759.05469,47807.58203,40706.69531,39914.15234,46031.76172,37110.45313,56549.33203,64685.1875,73487.92188,49042.1875,69838.75618,72872.21875,78930.08594,81734.03906,68920.94531,65032.57031,111026.4922,77681.26563,69838.75618,62967.63281,69838.75618,38783.60156,57586.11328,45274.59173,15267.7666,41372.66797,47810.91406,55422.37109,37735.66406,38491.69141,33958.11719,83947.21875,94345.28906,36771.875,56246.76953,18083.02344,51098.70703,23292.20898
Tnc,34623.89063,58155.30859,36792.76953,49949.39063,48926.90625,32589.17578,43538.20313,35838.88672,33660.94922,29670.95898,29047.07031,69205.86719,36100.15234,36699.30469,15063.12988,46219.94141,26614.99609,41871.35938,52885.58594,19697.46484,53733.23047,42483.57031,38506.93359,59466.29297,44249.22266,41907.25,52657.64453,32207.90039,32439.06445,29491.05664,37866.76563,35923.56641,39933.16797,43139.03516,54683.26172,42162.71484,51155.39063,64232.17188,53471.32813,56265.0625,43175.8125,46981.23438,43840.13281,34894.89063,36380.57813,33518.16406,42950.38672,72123.78906,91074.91406,77139.07031,76302.85938,69434.46875,97811.98438,79568.0625,68701.54688,75172.41406,81428.39844,29667.37305,50164.05078,33544.98047,46602.51563,67476.04688,71270.22656,55366.33594,72644.40625,70811.85156,78310.625,154233.4531,186319.5313,174953.9531,170513.6563,157842.3594,58380.00781,66146.5,55571.50781,43919.93359,37286.41406,64255.30859,75337.89844,62525.19922,72498.98438,84984.96094,121723.8594,134986.2656,120678.3281,107472.6406,113783.7031
Hexa,14751.23242,18228.31055,12728.53223,19854.35156,14295.4043,14984.37891,16595.21484,13945.53027,14585.17836,9939.964844,10842.94922,14271.09277,13020.66504,19093.73438,19784.89453,16398.24609,15411.3335,12622.46191,15411.3335,15411.3335,13627.59473,16085.88477,16120.5,15486.9375,15411.3335,15411.3335,11872.41602,10896.2002,16379.4043,11769.21777,17727.79297,15435.73047,12787.61426,13930.77246,20745.50586,14367.86426,12934.53516,12525.97266,12999.2959,14831.22168,15420.80371,14928.41602,14104.83496,17793.61328,12289.90299,11809.09375,12481.21582,12821.91113,12289.90299,3589.50415,12289.90299,13361.7793,12289.90299,10027.49707,12464.57813,11709.15039,15025.75488,11353.44629,6168.730957,21158.53125,10350.14746,9801.61875,9801.61875,10376.12988,10473.92871,9801.61875,8007.106934,9801.61875,8291.535156,9801.61875,7022.504883,4814.125977,13641.67676,11349.60059,11984.38696,12911.3418,14911.22461,11984.38696,10917.41211,11984.38696,11095.82617,11960.24609,11984.38696,9087.767578,11984.38696,11984.38696,11984.38696
Psma1,29454.52344,30336.75391,22425.5293,24649.72461,26775.98633,27537.11719,24636.45117,24240.36299,16093.50684,24240.36299,11162.77539,29331.26172,28029.90625,26518.73633,20690.68359,30512.75195,51536.48438,15573.60449,26806.44261,9085.618164,27132.84766,33900.96094,32259.61914,28106.50586,17517.31641,26806.44261,27618.71875,25891.48633,37206.0625,46586.93359,25719.78711,32136.38281,39685.92969,31677.46094,36146.51563,43164.08594,42177.89844,24947.89453,23326.01563,25277.75391,25571.10742,27463.72266,40892.80859,41745.46094,30149.18555,49777.60547,44215.29688,42410.12891,45459.23438,35501.61719,43201.40625,44084.83984,37681.44922,40427.03948,41419.125,34219.75391,35220.64063,44947.76563,40606.91797,43730.13281,41572.98047,51395.44531,48362.57031,40631.24219,41765.34375,40747.41016,46941.91406,49909.28125,44008.15234,22343.11719,38171.61328,42561.03125,18151.55469,41836.54688,30130.92969,33886.48047,36265.94141,35895.11719,21922.74609,26645.98242,42166.86719,41345.625,28221.36133,47838.58203,26119.4668,20889.90625,20847.10547
Olfm1,61039.28125,44617.26563,50068.07031,35853.10156,48724.14453,63493.65625,60900.5,55741.74609,66074.63281,48958.71094,48567.90625,55567.11328,39662.61328,48980.82722,67340.375,38574.08203,75203.82813,39410.85547,56827.23828,37878.36719,47165.93359,44310.17188,39184.98828,43925.69531,44658.59375,62608.01172,48980.82722,62527.81641,47632.05078,42603.91797,57307.93395,68829.94531,57307.93395,57307.93395,50250.4375,45006.70703,55730.95313,49629.47656,57307.93395,47258.99219,83580.46094,77336.51563,56166.94922,79613.07031,61564.66406,40532.69922,37511.48438,52068.03409,52068.03409,53109.02344,51058.95313,52068.03409,41033.78125,52635.92578,51348.91797,48172.90625,52068.03409,79012.875,74343.85156,56744.0625,39256.44531,68297.95313,50757.47266,41646.64844,26814.10547,53112.15299,57332.42188,53112.15299,64165.52344,36825.16406,42149.3125,53112.15299,23609.13672,46175.95313,65730.5625,47052.84375,38598.4375,19879.85938,15863.21094,27545.57617,33389.88281,43536.71875,34383.68119,34383.68119,28498.62891,18282.19336,38824.85156
